MAG,Spearman_corr,p_value
MAG053,0.9490938946064404,8.239847058692726e-06
MAG043,0.9358192003574065,2.292672679819011e-05
MAG036,0.9358192003574065,2.292672679819011e-05
MAG028,0.9358192003574065,2.292672679819011e-05
MAG205,0.9118745261905016,9.218303333221514e-05
MAG150,0.9118745261905016,9.218303333221514e-05
MAG047,0.8932648419825322,0.00021235889326911731
MAG044,0.8932648419825322,0.00021235889326911731
MAG049,0.8899457101438083,0.00024253109291336232
MAG040,0.8899457101438083,0.00024253109291336232
MAG024,0.8899457101438083,0.00024253109291336232
MAG155,0.8839599998785472,0.0003050600063487023
MAG197,0.8839599998785472,0.0003050600063487023
MAG217,0.8807710121010885,0.00034300081691363406
MAG021,0.8807710121010885,0.00034300081691363406
MAG016,0.8807710121010885,0.00034300081691363406
MAG052,0.8773564268609992,0.00038748518202946097
MAG147,0.8746551577745626,0.0004256687023413415
MAG134,0.8746551577745626,0.0004256687023413415
MAG034,0.8715963140583688,0.0004722751461450634
MAG038,0.858116330321033,0.0007252150276033962
MAG170,0.858116330321033,0.0007252150276033962
MAG204,0.858116330321033,0.0007252150276033962
MAG020,0.8528678631638891,0.0008472393944939832
MAG169,0.8390470785361213,0.0012426582241989647
MAG015,0.83489752188749,0.0013846867783018249
MAG033,0.8295124526436655,0.0015867428174419836
MAG164,0.8295124526436655,0.0015867428174419836
MAG140,0.8277882671513382,0.0016558728170318554
MAG027,0.8257228238447705,0.0017416242281296434
MAG022,0.8199778267512093,0.0019976327483902257
MAG010,0.8199778267512093,0.0019976327483902257
MAG054,0.8104432008587533,0.002483196470177306
MAG031,0.8095212630466697,0.002534407815244011
MAG011,0.8079610032674739,0.002622862221980276
MAG042,0.8009085749662975,0.0030516291844857528
MAG048,0.8009085749662975,0.0030516291844857528
MAG030,0.8009085749662975,0.0030516291844857528
MAG151,0.7909115788387002,0.0037458968378855477
MAG029,0.78969246589249,0.0038379188163827223
MAG051,0.78969246589249,0.0038379188163827223
MAG039,0.7791632330139233,0.004703873035808554
MAG007,0.7769543156827231,0.00490241681405788
MAG037,0.7746829608553245,0.005112945458591242
MAG014,0.7746829608553245,0.005112945458591242
MAG219,0.7686340001353569,0.0057060794272196826
MAG159,0.7686340001353569,0.0057060794272196826
MAG158,0.7686340001353569,0.0057060794272196826
MAG002,0.7545454545454545,0.00728204100842914
MAG041,0.7536922104227614,0.007386715659527626
MAG154,0.7532354455040179,0.007443201063435495
MAG019,0.7532354455040179,0.007443201063435495
MAG050,0.7515580963521804,0.007653342006891018
MAG025,0.7515580963521804,0.007653342006891018
MAG023,0.7515580963521804,0.007653342006891018
MAG018,0.743700819611562,0.008695891703857258
MAG006,0.7399956641006085,0.009221845013583816
